M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,hateself,笑死 用嘴講都很會講,06/07 00:27,推,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,DarkKinght,"不說別人,跟同黨的侯一比;韓真的是只剩下那張嘴",06/07 00:28,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,twyes,"做你媽78, 全台灣就你最混",06/07 00:28,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,shenmue1001,100億青年創業基金根本沒有到位,06/07 00:28,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,zsdrt,看看侯友宜再說好嗎？,06/07 00:31,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,elainakuo,其他局處首長 或許有做事 但韓國魚沒資格,06/07 00:31,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,Atkins13,做一堆假業績 自己烙跑選總統 笑死,06/07 00:32,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,diyaworld,https://i.imgur.com/2fAFRBz.jpg,06/07 00:52,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,SELEX,如果這是200% 那這個位子確實是超出他的能力了,06/07 00:57,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,Qeupa1973Q,滾,06/07 01:05,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,sl11pman,一天當兩天睡？,06/07 01:09,推,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,dlevel,什麼都愛蓋牌，連行程也蓋牌又不開議會，再來說自己多忙，,06/07 07:00,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,dlevel,有什麼公信力,06/07 07:00,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,jjez168,謊說多了，誰知道你盡心盡力講的是真話還是假話,06/07 07:27,推,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,BlueOcean001,祝福高雄回到以前的日子，爽,06/07 08:05,噓,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,BlueOcean001,執政黨髮夾灣一堆，樓上的有起來反抗過，講那麼噁,06/07 08:06,→,5,9,14
M.1591460676.A.544,[討論] 韓國瑜怨:為高雄市民做牛做馬.卻沒被肯定,BlueOcean001,心的話，説的出口,06/07 08:06,→,5,9,14
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,megaboost (誤人子弟),1.新聞網址 https://news.yahoo.co.jp/articles/e1dfcf36d1bbd64a8d7ba8a47eb7cd7b35292aa1 2.新聞來源 日本共同通信 3.新聞內容 共同香港国家安全法制導入巡、中国厳批判米国英 国共同声明日本政府参加打診、拒否6日分 。複数関係国当局者明。中国関係改善目指日本側欧米諸国追 随配慮示、米国関係国間日本対応失望声出 。 新型感染拡大当面見合中国習近平国家主席国賓訪日実 現向、中国過度刺激回避狙。香港巡 欧米各国中国対立深中、日本決断欧米諸国亀裂生恐 。 大意是英美等國邀請日本一起參加批判中國的香港國安法，但日本拒絕了。 日本表示為了改善與中國的關係，所以不打算追隨歐美各國， 美國等國之中出現了對日本的應對方式表達失望的聲音。 這被認為是為了推動因新冠肺炎而暫停的習近平訪日，避免過度刺激中國之舉。 但是在歐美各國與中國之間對立加深之際， 日本的決定可能會讓日本與歐美之間的關係產生龜裂。 [1;33;40m4.附註、心得、想法[m 日本大哥哥打算舔中了 台灣不知道打算該如何應對? 大風歌 大風歌 大風起雲飛揚. 大風起兮 雲飛揚 威海內加故鄉歸. 威加海內兮 歸故鄉 安猛士得四方守. 安得猛士兮 守四方 這次救是冒著觸怒你所謂的在日本有300基地的美國爸爸，仍然拒絕了美國的邀請去舔中 沒辦法，中國觀光客每人平均消費還比台灣觀光客高 2019年平均單人觀光客消費金額：中國212810日幣 台灣118288日幣 (連泰國跟越南都比台灣高XDDDDD) 超香的,Sun Jun  7 09:44:57 2020,主文,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,nnkj,中國的觀光客香,06/07 09:47,→,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,rainfarmer,日本去跟美國爸爸解釋吧，美國在日本有三百美軍基地就,06/07 09:47,→,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,rainfarmer,是,06/07 09:47,→,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,s566789,看到周庭昨天還PO日媒吹捧日本就覺得好笑,06/07 09:51,推,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,kujoukk,越親中就越不用辦奧運啦,06/07 09:57,噓,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,KurtCobain,香港越慘，東京外資撈越多,06/07 10:01,推,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,elainakuo,中國人口不知道多台灣幾十倍 但觀光客2數只是台灣的兩,06/07 11:23,→,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,elainakuo,倍 也能舔,06/07 11:23,→,2,1,6
M.1591494301.A.222,[新聞] 香港國安法 日本拒絕批判中國 英美失望,foolfighter,不意外,06/07 12:41,→,2,1,6
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,ReiFan (說好的秒速5公分呢?),1.新聞網址 https://m.cnyes.com/news/id/4487167 2.新聞來源 鉅亨網 3.新聞內容 週五 (5 日) 美國勞工部公布 5 月非農報告新增 250.9 萬人，失業率也下滑至 13.3%，二項指標皆遠勝市場預期，但美國勞工部卻在數據公布後承認，5 月非農數據有統計錯誤。 美國勞工部統計局週五 (5 日) 解釋，統計錯誤主要是因為在統計的過程中，誤將放無薪假 (furloughed)的勞工計入由於休假等其他原因缺勤，而按照原本規定，事實上只有放特休假的勞工，才可以計入由於休假等其他原因缺勤，因此在此統計錯誤下，雖然美國仍有大批勞工失業，但並未計入在失業率內。 美國勞工部統計局表示，在經過統計錯誤的糾正之後，估計美國 5 月失業率將高出約 3 個百分點，意即美國 5 月失業率真實數字可能落在 16.3%，而非 13.3%；另外，勞工部統計局亦承認，4 月的統計也出現一樣的錯誤，故修正後的 4 月失業率可能接近約 20%。 自新冠疫情爆發以來，美國許多企業就使用無薪假來削減人事支出，而無薪假的本意是當公司營運好轉後，公司即可召回員工上班，但市場經濟學家分析，在新冠疫情重創美國經濟之後，估計復甦的過程可能不會這麼快，許多放無薪假的勞工們，可能將面臨更長一段時間的長期失業。 4.附註、心得、想法 周五大漲的美股 周一是否會補跌回來呢？ 還是打斷手骨顛倒勇，再創新高呢？ 失業率計算法從四月錯到現在 是否是承了不可明言的上意呢？ Sent from JPTT on my HMD Global Nokia 7 plus. ,Sun Jun  7 09:49:12 2020,主文,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,kuninaka,美勞還有部門ㄛ,06/07 09:49,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,kuninaka,那美勞部長誰,06/07 09:49,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,adagiox,現在很投機QE頂著應該還是看多,06/07 09:51,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,suaowilliam,靠北,06/07 09:51,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,nnkj,川普投顧,06/07 09:52,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,megaboost,真的是美勞,06/07 09:52,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,akway,他也説四月一樣統計錯誤 五月還是比四月下降,06/07 09:55,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,brightest,如果是中國這樣搞早被酸爆,06/07 09:59,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,clifflee,這真的母湯 降低可信度 要做就用改變計算方式來演嘛,06/07 10:03,→,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,sobiNOva,諾貝爾獎,06/07 10:10,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,rancilio,還有這種事，周一如果股價大跌，美國人可以要求國賠嗎?,06/07 10:24,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,johnhahaha,美國真的蠻黑的,06/07 11:32,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,demitri,美國現在失業率堪比大蕭條時代,06/07 20:03,推,6,0,8
M.1591494555.A.943,[新聞] 美勞工部承認：5月失業率統計錯誤 真實失,demitri,而且因為疫情還沒結束很多人也不敢復工,06/07 20:03,→,6,0,8
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,vikk33 (vikk33),1.轉錄標題 若為BBS他板文章可免填 FB請寫名稱 普通人的自由主義 1.轉錄網址 https://reurl.cc/4RGZY2 2.轉錄來源 fb 3.轉錄內容 民粹不死，只是凋零 韓國瑜被罷免成功，對游戲人間的浪蕩子來說，也是適得其所。選市長是一時的誤會，選 總統則是夢做得太大。喜歡喝酒交朋友的韓國瑜，要他當行政首長，太吃力。但政治野心 撐不起大位，不見得是他的問題。 民粹與菁英政治，像鐘擺一樣，在民主政治裡，交替出頭。菁英主政久了，民粹政客代表 普羅大眾發聲，為生活困苦的民眾討一口氣，攪動政治死水，重新給民主政治帶入活力。 羅斯福、雷根，還有現在的川普，都是這樣的民粹政客。而民粹帶來的破壞，在制度重整 之後，民眾又會期待一段時期的與民休息，因而把政治，又交給菁英治理。現在台灣就是 進入這個菁英政治的最高峰，無味無色的蔡英文在總統府，民進黨掌握國會多數，而在野 黨頹廢不振。現在武漢肺炎在全球肆虐，台灣防疫成功，讓菁英政治達到頂點，官僚有效 治理，民眾大幅信任官府。民粹政治在2018年的地方選舉後，就逐漸進入潛伏。 潛伏的時間，恐怕不會算短。一是民進黨還是這個蔡政府，要她做出什麼出格，讓民眾極 度反感的政策，也不容易。二是在野黨沒有力量，民粹如果要反撲，也許還得靠民進黨內 鬥才行。 民粹在台灣的失敗，除了抗中的外在因素外，還有韓國瑜和國民黨的因素。民粹政客，不 一定得等同於白痴政客。許多的民粹家，其實是治理政府的幹才。但韓國瑜不是，不但沒 料，還沒力。沒有看過哪一個政治野心家，這麼沒有紀律。但民粹政客，不一定得都靠自 己治理。川普也不見得多行，但他的背後，有一個共和黨組織，有許多人材供他揮豁，不 用他真的下去管事。但韓國瑜背後沒有人，國民黨自己人材就出現危機，更何況國民黨內 等著看韓國瑜笑話的，多如牛毛。 現在台灣政治一極化的傾向太明顯，中國壓力越大，主流民意越靠向反中的民進黨，柯文 哲也許可以吸納反民進黨的一部份力量，但國民黨死而不僵，這兩派不一定能合作，更何 況就算柯文哲能聯合反民進黨勢力，最後大概也敗在他自己手上。 這個政治一極化的傾向，是兇兆。 民主制度提供一個健康的政治權力轉換的機制，讓積累的不滿情緖得以宣洩，政治於是像 場比賽，有時輸，有時贏。跌倒了，下次再爬起來，再戰。但在反民進黨勢力的衰微下， 許多負面因素，如省籍族群、社經階級等的對抗，都會加入這個失望的陣營。當你知道比 賽怎麼比，都不會贏，你還會想比嗎？鬧場還比較有意思。這些潛伏的民粹力量，即將為 共產黨利用，為破壞台灣而無所不用其極。值此北京準備打侵台牌的時候，國內有這樣的 人群，相當危險。 政府有兩條路走。一是加碼清算、加強偵防，讓這些親中派死心，二是無為而治，用愛與 包容，吸納這些反對力量。這兩套作法，得隨外在環境，如美中對抗強度，隨時調整。現 在應先兩軌並行，事不可為，再痛下殺手。保台護國，才是民眾投給民進黨的最重要原因 ，切不可忘。 4.附註、心得、想法 不只是 親中 更多更多 幾十年黨國 洗出來的威權性人格 也是這種潛在的危險 隨時會嫌台灣太自由導向對岸 早點 打包送他們去拿對岸戶口 ,Sun Jun  7 11:03:48 2020,主文,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,e12518166339,普通人自由主義還不錯，他現在比較少寫書評，以前,06/07 11:05,推,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,e12518166339,看他書評寫的很好,06/07 11:05,→,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,dakkk,野心撐不起大位 得藏拙 選總統 黑人問號？,06/07 11:06,推,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,tim1112,政府不能直接物理或社會肅清掉這些反對勢力嗎,06/07 11:06,推,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,vikk33,物理沒法 社會的話送對岸定居註銷自由地區戶籍就搞定,06/07 11:07,→,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,hank28,物理 請那些不支持菜政府的都去台灣海峽游泳就好啦,06/07 11:10,推,4,0,3
M.1591499032.A.7A9,[轉錄] 普通人的自由主義,hank28,游的到對岸再說  游不到就算那些人倒楣囉,06/07 11:10,→,4,0,3
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,laptic (靜夜聖林彼岸花),1.新聞網址 https://www.storm.mg/article/2734830 2.新聞來源 風傳媒 3.新聞內容 陳煜 20200607 09:50 https://i.imgur.com/0CT55y0.jpg 國民黨中央委員連勝文表示，罷韓人士說我們只是收回原本屬於我們的權利，但他認 為，這句話最後面恐怕還少了3個字及利益。（資料照，簡必丞攝） 高雄市長韓國瑜6日確定遭罷免，將在中選會公告後正式卸任市長職務。對此，國民黨中 央委員連勝文在臉書痛批韓國瑜遭罷免一事，是遭到罷韓國家隊的全力迫害及仇恨煽 動，並聲稱韓國瑜離開高雄，把高雄搞到負債三千億，馬路卻有五千個洞的人都要回來 了 連勝文在臉書上表示，罷韓過關後罷韓人士說我們只是收回原本屬於我們的權利，但 他認為，這句話最後面恐怕還少了3個字及利益；連勝文聲稱，韓國瑜在高雄擋了綠 營親信資本主義無數成員的財路，保護了民眾的利益，最後還是不幸遭到罷韓國家 隊的全力迫害及仇恨煽動。 連勝文質疑，新冠肺炎（武漢肺炎）導致許多人生活困難，政府紓困有一大堆問題，但推 動罷韓，卻是從中央到地方不遺餘力，這大概是一種民進黨急著幫自己人紓困的概念吧 ？ 連勝文強調，物極必反，我絕不相信綠營政客及他們龐大的親信資本主義成員，可 以永遠把持這個國家，把高雄當提款機，予取予求他說，希望韓國瑜休息一陣子之後 和老戰友一起奮鬥，並盼國民黨面對2019年起犯的錯誤，不能輸昏頭，也絶不能喪 志，大家加油 4.附註、心得、想法 還在想著要讓民進黨背黑鍋是吧？不過看來，一邊面對著慶富案的陰影，另一邊也有 落跑市長的遺臭萬年之名，恐怕只不過是半斤八兩而已 淩波不過橫塘路，但目送、芳塵去。錦瑟年華誰與度？ 月橋花院、瑣窗朱戶，只有春知處。 飛雲冉冉蘅皋暮，彩筆新題斷腸句。若問閒情都幾許？ 一川菸草、滿城風絮，梅子黃時雨。 北宋賀鑄《青玉案凌波不過橫塘路》 ,Sun Jun  7 11:20:10 2020,主文,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,terminator3,選台北 選台北 選台北,06/07 11:20,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,jyekid,去年就開始罷韓了... 他這種論調不就證明民進黨後面才加入,06/07 11:20,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,zxcv070801,就是不檢討,06/07 11:21,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,stocktonty,人家韓導北市拿68.5萬都比你多 你電電,06/07 11:21,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,neverfly,霸氣向93萬人宣戰,06/07 11:21,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,alonzohorse,柯連這當初的對手要合作了嗎？,06/07 11:23,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,leaderkim,靠爸   就別嘴了啦   討厭,06/07 11:23,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,okgod,可憐啊，他們這些黨國權貴還在都是別人的錯，從不檢討自己,06/07 11:24,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,okgod,，說利益？那麼原本的市長也是嗎？,06/07 11:24,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,yeh67,老賊的業障，不是你有中槍就還完了，助紂為孽，人在做，天,06/07 11:24,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,yeh67,在看，吃銅吃鐵貪過頭，小心會折壽！,06/07 11:24,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,ferttelle,這樣就對了，曾經殺到你死我活現在一起合作柯連納,06/07 11:24,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,a0986188522,韓導去選台北好了,06/07 11:24,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,yeh67,不知悔改，福報享盡，不會遇到柯文哲出手救你了,06/07 11:27,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,elainakuo,沒救,06/07 11:34,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,KDGC,發動罷免或許有政治跟利益糾葛 但罷免過關絕對是民主意志,06/07 11:41,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,KDGC,你今天韓國瑜說話算話、作好作滿 要被罷掉根本超困難,06/07 11:42,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,scorpio0920,綠營擋到你財路？,06/07 11:42,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,KDGC,今天韓的下場就是咎由自取 不知悔改就繼續當在野黨,06/07 11:43,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,lexus3310,加油 支持連公子投入高雄補選,06/07 11:50,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,ssw0929,罷免掉了就是擋到藍營財路啦,06/07 11:50,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,lexus3310,韓導選台北 兩強聯手拯救KMT,06/07 11:51,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,jerrylin,好了啦  其他都多講的  國民黨就是輸不起,06/07 12:00,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,paytonfu,聞腋青年,06/07 12:01,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,hygen,有這種人在國民黨，我就放心了,06/07 12:07,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,omoi1988,韓傷害高雄市民利益 被趕下台 無誤,06/07 12:09,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,xiangbudao,唯有勝文 勝過英文,06/07 12:09,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,carl578,可憐啊,06/07 12:30,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,q12341234,難怪,06/07 12:31,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,budalearning,霸韓確實讓KMT支持者對DPP很不滿,06/07 12:32,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,iamandre,勝文說得是事實 接下來咧 然後咧 高雄繼續蕭條 年輕人繼,06/07 12:32,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,iamandre,續北漂 整個團隊都在睡 只要中央十成就夠了,06/07 12:32,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,insominia,他現在好像比較瘦了 這樣比較健康,06/07 12:53,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,kof,選市長啦,06/07 13:01,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,iloveivy0712,簽名檔是「煙草」不是「菸草」啦～,06/07 13:10,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,fortrees,可憐阿,06/07 13:11,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,AAsoon,KMT言論一個比一個奇葩,06/07 13:16,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,silentsky555,連公子這幾年還是沒有成長 國民黨還是交給蔣萬安吧,06/07 13:42,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,silentence,2014年到現在 除了體重啥都沒變  笑死人,06/07 13:49,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,sampam,就利益不見了！議長才....,06/07 14:20,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,bryant780417,好啦 都民進黨的錯 跟阿北一樣繼續打民進黨,06/07 14:49,推,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,shawn0629,國民黨真的沒任何希望可言，看昨天和今天出來發言的人,06/07 14:57,噓,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,shawn0629,的內容，幾乎都是這麼一個樣,06/07 14:57,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,hhyde,最會賺公務員後代　告訴你什麼是財路　讚讚,06/07 15:12,→,21,6,18
M.1591500013.A.754,[新聞] 不捨韓國瑜慘敗！連勝文怒指「罷韓過關」主因：擋到綠營財路,Smoltzy,唯一支持柯連配,06/07 16:15,推,21,6,18
